shipment_id,order_date,customer_type,destination_country,product_category,carrier,promised_delivery_date,actual_delivery_date,delay_reason,order_value_eur
SH0001,2026-04-29,Independent Store,Germany,Vinyl,UPS,2026-05-02,2026-05-02,,223
SH0002,2026-07-18,Online Retailer,United Kingdom,Vinyl,UPS,2026-07-21,2026-07-25,Customs hold,452
SH0003,2026-07-17,Independent Store,Germany,Merchandise,DPD,2026-07-23,2026-07-22,,614
SH0004,2026-05-10,Independent Store,Netherlands,Merchandise,PostNL,2026-05-16,2026-05-15,,780
SH0005,2026-06-28,Online Retailer,Netherlands,Merchandise,PostNL,2026-07-05,2026-07-04,,1175
SH0006,2026-06-15,Independent Store,United States,CD,DPD,2026-06-23,2026-06-23,,208
SH0007,2026-05-30,Online Retailer,Belgium,CD,DPD,2026-06-03,2026-06-02,,772
SH0008,2026-05-24,Online Retailer,United States,CD,UPS,2026-05-31,2026-05-31,,1538
SH0009,2026-06-02,Online Retailer,United States,CD,DPD,2026-06-07,2026-06-06,,1771
SH0010,2026-04-15,Retail Chain,Belgium,Vinyl,DHL,2026-04-21,2026-04-20,,1206
SH0011,2026-06-20,Online Retailer,France,CD,DPD,2026-06-26,2026-06-25,,330
SH0012,2026-06-03,Online Retailer,France,DVD,DHL,2026-06-10,2026-06-09,,328
SH0013,2026-08-09,Independent Store,United States,CD,GLS,2026-08-19,2026-08-20,Carrier delay,1266
SH0014,2026-04-17,Online Retailer,Belgium,Vinyl,PostNL,2026-04-26,2026-04-25,,1441
SH0015,2026-06-08,Retail Chain,Netherlands,DVD,UPS,2026-06-16,2026-06-23,Customs hold,1605
SH0016,2026-05-16,Online Retailer,United Kingdom,CD,DHL,2026-05-20,2026-05-19,,810
SH0017,2026-05-12,Independent Store,Netherlands,DVD,DPD,2026-05-15,2026-05-14,,535
SH0018,2026-04-15,Independent Store,United States,Merchandise,PostNL,2026-04-21,2026-04-21,,1602
SH0019,2026-05-03,Retail Chain,United Kingdom,Merchandise,DHL,2026-05-08,2026-05-08,,1149
SH0020,2026-05-22,Retail Chain,United Kingdom,Merchandise,PostNL,2026-05-29,2026-05-28,,552
SH0021,2026-05-28,Online Retailer,Germany,Vinyl,PostNL,2026-06-01,2026-06-01,,1494
SH0022,2026-04-16,Independent Store,United Kingdom,CD,DPD,2026-04-22,2026-04-23,Stock shortage,1415
SH0023,2026-08-03,Independent Store,France,Merchandise,DHL,2026-08-09,2026-08-08,,238
SH0024,2026-04-25,Retail Chain,United States,Vinyl,PostNL,2026-05-04,2026-05-03,,169
SH0025,2026-07-13,Independent Store,Germany,CD,UPS,2026-07-21,2026-07-21,,963
SH0026,2026-05-06,Independent Store,France,Vinyl,PostNL,2026-05-15,2026-05-23,Customs hold,1380
SH0027,2026-04-04,Independent Store,France,Merchandise,GLS,2026-04-08,2026-04-08,,482
SH0028,2026-07-12,Retail Chain,France,DVD,GLS,2026-07-15,2026-07-16,Documentation error,1471
SH0029,2026-08-03,Online Retailer,United States,Vinyl,DPD,2026-08-08,2026-08-12,Carrier delay,162
SH0030,2026-04-13,Independent Store,United Kingdom,Vinyl,DHL,2026-04-23,2026-04-23,,185
SH0031,2026-04-18,Online Retailer,United Kingdom,Vinyl,UPS,2026-04-24,2026-04-24,,212
SH0032,2026-07-17,Online Retailer,United States,DVD,DHL,2026-07-25,2026-07-25,,588
SH0033,2026-07-11,Retail Chain,Belgium,Vinyl,PostNL,2026-07-16,2026-07-15,,983
SH0034,2026-04-26,Independent Store,Belgium,Vinyl,DHL,2026-04-30,2026-04-29,,801
SH0035,2026-06-12,Online Retailer,United States,Vinyl,UPS,2026-06-17,2026-06-16,,658
SH0036,2026-04-27,Independent Store,Belgium,DVD,UPS,2026-05-02,2026-05-04,Weather,476
SH0037,2026-06-27,Online Retailer,France,DVD,PostNL,2026-07-03,2026-07-02,,234
SH0038,2026-07-18,Online Retailer,Belgium,CD,GLS,2026-07-25,2026-07-31,Customs hold,1174
SH0039,2026-07-19,Independent Store,Belgium,CD,GLS,2026-07-22,2026-07-25,Weather,306
SH0040,2026-04-11,Retail Chain,Germany,CD,PostNL,2026-04-18,2026-04-18,,769
SH0041,2026-07-14,Independent Store,Germany,Merchandise,PostNL,2026-07-19,2026-07-19,,412
SH0042,2026-06-25,Retail Chain,Germany,Vinyl,GLS,2026-07-04,2026-07-04,,124
SH0043,2026-07-30,Retail Chain,Germany,CD,PostNL,2026-08-05,2026-08-13,Stock shortage,1396
SH0044,2026-05-20,Retail Chain,Belgium,Merchandise,UPS,2026-05-29,2026-05-29,,723
SH0045,2026-04-08,Independent Store,United Kingdom,DVD,PostNL,2026-04-12,2026-04-11,,267
SH0046,2026-07-21,Retail Chain,United Kingdom,Vinyl,GLS,2026-07-29,2026-07-28,,1225
SH0047,2026-05-19,Online Retailer,United Kingdom,CD,DPD,2026-05-26,2026-06-02,Carrier delay,928
